Rotation	Top moment [kN.m]
-1.84000000000000e-07	-9.95949400800000
-9.01000000000000e-07	-9.88617562300000
-7.61000000000000e-07	-9.91777241000000
-6.94000000000000e-07	-9.83943156000000
-2.96000000000000e-07	-9.88317853700000
2.21000000000000e-07	-9.48911032100000
-1.64000000000000e-06	-9.65070537800000
5.04000000000000e-07	-9.38687615400000
5.70000000000000e-07	-9.40981648000000
-1.12000000000000e-06	-9.73912925100000
8.40000000000000e-07	-9.23094120200000
5.08000000000000e-07	-9.22551545800000
1.73000000000000e-07	-9.17983845100000
-3.18000000000000e-07	-9.59409611200000
9.70000000000000e-07	-9.19166253200000
-1.45000000000000e-07	-9.50676028600000
-3.89000000000000e-07	-9.40913750300000
-3.54000000000000e-07	-9.53443205900000
-9.01000000000000e-07	-9.39238054500000
-3.45000000000000e-07	-9.28499345900000
-5.80000000000000e-07	-9.27186495000000
-1.65000000000000e-07	-9.20898834600000
-3.76000000000000e-07	-9.22375716700000
-7.52000000000000e-09	-9.08093222300000
-7.45000000000000e-07	-9.09198474100000
-2.30000000000000e-07	-9.04075979600000
7.92000000000000e-07	-8.61095575100000
-5.91000000000000e-07	-9.09066631800000
-8.51000000000000e-08	-9.07910956600000
-4.20000000000000e-08	-8.98131473100000
3.68000000000000e-08	-8.62860004600000
-6.20000000000000e-07	-8.95091895300000
-5.59000000000000e-07	-8.92795962000000
-8.26000000000000e-07	-8.91500034100000
-3.68000000000000e-07	-8.85518400200000
4.80000000000000e-07	-8.54651205100000
-2.00000000000000e-07	-8.84884102500000
-7.60000000000000e-07	-8.74755312000000
4.55000000000000e-07	-8.49475402400000
-1.27000000000000e-06	-8.77737766400000
4.78000000000000e-07	-8.37884019700000
-1.12000000000000e-06	-8.67420543000000
5.34000000000000e-07	-8.33138600500000
1.97000000000000e-07	-8.30684421100000
-1.49000000000000e-07	-8.67382026200000
-3.39000000000000e-07	-8.61695010000000
-1.31000000000000e-07	-8.67108960700000
-5.54000000000000e-07	-8.56013854100000
7.73000000000000e-08	-8.15327600500000
7.38000000000000e-08	-8.13041038900000
7.79000000000000e-07	-8.17464780500000
3.92000000000000e-07	-8.17503306400000
-1.24000000000000e-07	-8.38877433000000
5.31000000000000e-07	-8.11386222300000
-8.58000000000000e-07	-8.36437918000000
-3.24000000000000e-07	-8.28404252400000
-7.59000000000000e-08	-8.26567062200000
-6.74000000000000e-07	-8.27068021600000
-1.80000000000000e-07	-8.19113548100000
7.72000000000000e-08	-7.87897555100000
8.29000000000000e-07	-7.82469607000000
1.64000000000000e-07	-7.86748277600000
-1.18000000000000e-07	-8.07989626700000
-4.51000000000000e-07	-8.08859556900000
-3.34000000000000e-07	-8.05742697700000
-6.31000000000000e-07	-8.08071625900000
-5.19000000000000e-07	-7.93663961900000
2.55000000000000e-07	-7.59605108900000
5.28000000000000e-07	-7.57260524700000
-3.13000000000000e-07	-7.84400024200000
-5.66000000000000e-08	-7.79010001600000
-7.50000000000000e-08	-7.81986076200000
-5.22000000000000e-07	-7.86577252900000
2.69000000000000e-07	-7.42106296800000
1.36000000000000e-06	-7.45289823600000
-1.05000000000000e-07	-7.74856898600000
-1.07000000000000e-06	-7.66592193600000
1.40000000000000e-07	-7.32386215600000
3.52000000000000e-07	-7.35186336900000
-1.27000000000000e-07	-7.58231030300000
7.53000000000000e-07	-7.20138925900000
-1.92000000000000e-07	-7.63671146700000
-1.28000000000000e-08	-7.52601499700000
7.55000000000000e-07	-7.17112735400000
8.59000000000000e-08	-7.14484818500000
-8.88000000000000e-07	-7.40134090300000
3.05000000000000e-07	-7.11273922800000
-4.51000000000000e-07	-7.40995929100000
-3.94000000000000e-08	-7.33770328600000
7.44000000000000e-08	-7.01303548800000
2.44000000000000e-07	-7.00453666000000
4.52000000000000e-07	-6.95639361500000
1.69000000000000e-07	-6.94249740700000
1.91000000000000e-07	-6.91349696500000
-1.93000000000000e-07	-7.26413113100000
-1.02000000000000e-06	-7.13304502300000
5.42000000000000e-07	-6.85412391100000
5.26000000000000e-07	-6.84568720900000
-4.10000000000000e-08	-7.12831404400000
7.27000000000000e-07	-6.74913343300000
8.56000000000000e-07	-6.63504781400000
-2.00000000000000e-07	-6.95211567300000
5.38000000000000e-07	-6.59072480100000
7.81000000000000e-08	-6.59712218800000
3.66000000000000e-07	-6.58072135100000
6.58000000000000e-08	-6.50021977200000
-2.93000000000000e-08	-6.86119363800000
-3.59000000000000e-07	-6.79027314500000
-6.64000000000000e-07	-6.71257688200000
-6.71000000000000e-07	-6.71049808800000
-2.10000000000000e-07	-6.77795505800000
1.21000000000000e-06	-6.44487278400000
-1.70000000000000e-07	-6.81229741200000
-1.71000000000000e-07	-6.75290749900000
3.83000000000000e-07	-6.32580999300000
-3.58000000000000e-07	-6.62856383600000
5.46000000000000e-07	-6.31060491600000
-4.87000000000000e-07	-6.61471627600000
6.73000000000000e-07	-6.26342989300000
5.45000000000000e-07	-6.23601851600000
4.10000000000000e-07	-6.23052097800000
-3.52000000000000e-07	-6.52320720200000
-4.84000000000000e-07	-6.46763803600000
2.51000000000000e-09	-6.13124592300000
-8.23000000000000e-08	-6.49083700800000
2.48000000000000e-07	-6.07200087400000
-2.15000000000000e-07	-6.33897855600000
5.44000000000000e-07	-6.03768230800000
-4.07000000000000e-07	-6.39905016700000
6.77000000000000e-07	-5.96879945400000
-4.97000000000000e-08	-6.36909484700000
-6.99000000000000e-07	-6.74510519500000
-4.83000000000000e-07	-7.03429083300000
-2.35000000000000e-07	-7.09085570800000
-8.34000000000000e-08	-7.03202476900000
2.24000000000000e-07	-6.78743984800000
3.42000000000000e-07	-6.67878654000000
-7.02000000000000e-07	-7.00927833500000
-3.96000000000000e-07	-6.84933844000000
-1.15000000000000e-06	-6.86722183400000
8.07000000000000e-07	-6.49269185600000
9.20000000000000e-08	-6.42570861500000
-5.49000000000000e-07	-6.76824528200000
9.21000000000000e-07	-6.46913113500000
9.54000000000000e-07	-6.36894314100000
6.78000000000000e-07	-6.38102588100000
-6.00000000000000e-07	-6.55269074700000
1.17000000000000e-06	-6.27340188300000
-4.06000000000000e-07	-6.51994887800000
1.40000000000000e-07	-6.15411938300000
-8.57000000000000e-07	-6.42972191400000
-6.06000000000000e-07	-6.41003492900000
9.07000000000000e-07	-5.99634056800000
-1.78000000000000e-07	-6.31714826700000
-1.55000000000000e-07	-6.25314720800000
-1.59000000000000e-06	-6.21471107000000
3.62000000000000e-07	-5.87641714900000
-2.28000000000000e-07	-6.15938599900000
3.09000000000000e-07	-5.86919010100000
-1.25000000000000e-07	-6.07904084200000
1.37000000000000e-07	-5.68541393600000
-2.43000000000000e-07	-6.10098567600000
-1.39000000000000e-06	-6.06614767700000
-1.16000000000000e-07	-6.08640609100000
8.00000000000000e-07	-5.64448334600000
-6.08000000000000e-07	-5.92486493100000
1.28000000000000e-07	-5.59628503300000
-5.51000000000000e-07	-5.88978332600000
1.57000000000000e-07	-5.52400038300000
8.18000000000000e-08	-5.52623694400000
-8.69000000000000e-07	-5.84047693300000
-2.98000000000000e-07	-5.77744741800000
-3.19000000000000e-07	-5.71289867700000
4.83000000000000e-07	-5.37652194600000
-3.73000000000000e-07	-5.62746293700000
-2.75000000000000e-07	-5.63714554100000
4.13000000000000e-07	-5.36014779000000
5.74000000000000e-09	-5.36196651000000
-1.03000000000000e-06	-5.60768629600000
2.24000000000000e-07	-5.18778275200000
1.45000000000000e-07	-5.17626208600000
2.83000000000000e-07	-5.25722184300000
-4.54000000000000e-07	-5.54015562300000
3.35000000000000e-07	-5.15723146800000
-1.56000000000000e-07	-5.57961582800000
2.61000000000000e-07	-5.16237165400000
-1.75000000000000e-07	-5.50180782800000
5.75000000000000e-07	-5.15404172100000
-1.89000000000000e-08	-5.42024316300000
-6.70000000000000e-07	-5.45739300000000
-3.64000000000000e-08	-5.41260411500000
-5.92000000000000e-07	-5.39494586900000
4.59000000000000e-07	-4.98045846200000
-2.72000000000000e-07	-5.36100926600000
7.31000000000000e-07	-5.03669112300000
-1.21000000000000e-06	-5.33576339400000
3.03000000000000e-07	-4.86222572300000
7.30000000000000e-08	-4.89662372800000
6.67000000000000e-07	-4.90290618300000
-4.26000000000000e-07	-5.24241523400000
-3.43000000000000e-07	-5.23215153700000
-7.11000000000000e-08	-5.17653707700000
4.09000000000000e-07	-4.91013769100000
7.87000000000000e-07	-4.78685604000000
2.16000000000000e-07	-4.76015560200000
1.77000000000000e-08	-4.67793533300000
9.52000000000000e-07	-4.74618876800000
4.30000000000000e-07	-4.70146012600000
6.65000000000000e-07	-4.79921067200000
1.70000000000000e-07	-4.69623930100000
-1.04000000000000e-06	-5.01573967100000
-1.34000000000000e-07	-4.82543896200000
-4.81000000000000e-07	-4.98294972400000
6.08000000000000e-08	-4.61355938200000
-1.25000000000000e-07	-4.94344039300000
7.23000000000000e-07	-4.56937184400000
2.73000000000000e-08	-4.53006296900000
1.11000000000000e-07	-4.46470330800000
-7.41000000000000e-07	-4.80968209200000
1.40000000000000e-06	-4.40833559100000
-1.41000000000000e-06	-4.76996637100000
-7.83000000000000e-07	-4.77023706600000
4.39000000000000e-07	-4.43602201300000
2.39000000000000e-07	-4.29506745200000
3.44000000000000e-07	-4.31991871500000
-5.05000000000000e-07	-4.55644411100000
-1.02000000000000e-06	-4.48259243900000
-2.57000000000000e-07	-4.57865018600000
5.87000000000000e-07	-4.18304268800000
-5.51000000000000e-07	-4.58686179400000
-7.12000000000000e-07	-4.50129828700000
3.19000000000000e-07	-4.10568555200000
-6.93000000000000e-07	-4.39823537300000
3.81000000000000e-07	-4.11456811900000
6.47000000000000e-07	-4.09997818300000
-5.54000000000000e-07	-4.41831610400000
4.06000000000000e-08	-4.01712824500000
-1.62000000000000e-07	-4.36761652300000
-8.06000000000000e-07	-4.31051385400000
1.49000000000000e-07	-3.92902624300000
4.23000000000000e-07	-3.90845847400000
-8.49000000000000e-07	-4.31092161000000
-9.77000000000000e-07	-4.27453666600000
3.03000000000000e-07	-3.90329342400000
-8.62000000000000e-07	-4.23779833700000
-1.54000000000000e-07	-4.17450078200000
-9.72000000000000e-07	-4.32205517100000
7.51000000000000e-07	-3.98487838200000
4.92000000000000e-07	-3.97070169800000
1.57000000000000e-06	-3.91059237300000
4.16000000000000e-07	-3.95060292400000
1.14000000000000e-06	-3.92526571900000
-7.38000000000000e-08	-4.25971631200000
4.98000000000000e-07	-3.88395352800000
-3.60000000000000e-07	-4.19480475300000
-1.52000000000000e-07	-4.19710702600000
1.63000000000000e-08	-3.86441549300000
4.32000000000000e-07	-3.85897704100000
-4.06000000000000e-08	-4.08302077300000
3.45000000000000e-08	-3.80962873100000
-2.64000000000000e-07	-4.03299216000000
2.99000000000000e-07	-3.69355827400000
5.94000000000000e-07	-3.79150094600000
2.36000000000000e-07	-3.69848184300000
4.89000000000000e-07	-3.63254699000000
2.49000000000000e-07	-3.60314560600000
1.75000000000000e-07	-3.61487025000000
4.09000000000000e-07	-3.73126209700000
1.34000000000000e-07	-3.58080894600000
2.79000000000000e-08	-3.66432223200000
3.89000000000000e-07	-3.54197628000000
-1.79000000000000e-07	-3.78324666100000
-7.15000000000000e-07	-3.85672004600000
6.14000000000000e-07	-3.55071702200000
5.09000000000000e-07	-3.48045287000000
3.69000000000000e-07	-3.44191712800000
3.41000000000000e-07	-3.44260200200000
1.26000000000000e-07	-3.43344787500000
2.35000000000000e-07	-3.53461125400000
-9.11000000000000e-07	-3.80380711000000
-3.01000000000000e-08	-3.86448343900000
4.45000000000000e-07	-3.52655173100000
-3.57000000000000e-07	-3.88013850800000
-8.69000000000000e-08	-3.79565308800000
2.25000000000000e-07	-3.74331653900000
-2.34000000000000e-07	-4.06000694400000
-2.01000000000000e-07	-4.19296255700000
-6.72000000000000e-07	-3.98490602100000
1.66000000000000e-07	-3.78993096600000
-1.03000000000000e-06	-4.06895837800000
5.85000000000000e-07	-3.74208432600000
-4.99000000000000e-07	-4.01426057500000
7.21000000000000e-07	-3.72461015700000
3.70000000000000e-07	-3.66735051700000
-3.28000000000000e-07	-4.00723290300000
-2.31000000000000e-07	-3.94134006900000
3.86000000000000e-07	-3.57429372800000
3.60000000000000e-07	-3.62023097700000
3.42000000000000e-07	-3.64915924500000
4.18000000000000e-07	-3.55869872500000
-1.40000000000000e-06	-3.86188220600000
-2.35000000000000e-07	-3.87078018100000
5.80000000000000e-07	-3.55363540900000
2.86000000000000e-07	-3.53501773900000
-7.44000000000000e-07	-3.78460893100000
5.77000000000000e-07	-3.51013508000000
7.29000000000000e-07	-3.34773242900000
-8.20000000000000e-07	-3.68380290100000
-7.72000000000000e-07	-3.64107351500000
-1.24000000000000e-07	-3.70054493500000
-5.69000000000000e-08	-3.61500938200000
-2.01000000000000e-07	-3.56352539400000
1.13000000000000e-07	-3.35104234800000
-7.21000000000000e-07	-3.64594779500000
1.69000000000000e-07	-3.23788177800000
-2.97000000000000e-07	-3.55653655600000
6.30000000000000e-07	-3.20033765400000
4.64000000000000e-07	-3.16724435600000
4.50000000000000e-07	-3.16158369700000
-1.53000000000000e-07	-3.51694664800000
-1.60000000000000e-08	-3.45946622600000
9.67000000000000e-07	-3.14849084000000
-1.73000000000000e-07	-3.45451244700000
1.10000000000000e-08	-3.16700890000000
-3.24000000000000e-07	-3.48703999400000
3.35000000000000e-07	-3.10306116300000
6.89000000000000e-07	-3.20200201600000
-7.34000000000000e-07	-3.38385557400000
7.31000000000000e-07	-3.13874883300000
5.49000000000000e-07	-3.16666757000000
-2.34000000000000e-07	-3.49121910700000
-4.14000000000000e-07	-3.43537862000000
-2.70000000000000e-07	-3.55181796100000
8.33000000000000e-07	-3.24215832800000
3.75000000000000e-07	-3.19929847200000
1.20000000000000e-07	-3.08342156700000
-1.27000000000000e-06	-3.42989283400000
7.30000000000000e-07	-3.10266556700000
-2.56000000000000e-07	-3.31471181600000
-5.91000000000000e-07	-3.42488673300000
3.73000000000000e-07	-3.05366420900000
3.12000000000000e-07	-2.96007036900000
3.86000000000000e-07	-2.95822693600000
-1.02000000000000e-06	-3.28115362200000
1.02000000000000e-07	-3.01639903700000
-3.63000000000000e-07	-3.26169719700000
-7.05000000000000e-07	-3.18939807200000
1.20000000000000e-06	-2.87964669500000
1.06000000000000e-08	-2.92441985800000
8.31000000000000e-07	-2.92807342000000
6.42000000000000e-07	-2.92532264400000
7.88000000000000e-07	-2.92320161600000
-3.68000000000000e-07	-3.05728305600000
-6.13000000000000e-08	-3.11756344300000
-9.48000000000000e-08	-3.09664361200000
-1.09000000000000e-06	-3.17548475700000
-6.90000000000000e-07	-3.15369263800000
-8.00000000000000e-07	-3.05983401500000
-2.74000000000000e-07	-3.09932012500000
1.47000000000000e-07	-2.71545876900000
1.26000000000000e-06	-2.77097501700000
4.29000000000000e-07	-2.79154615900000
-3.37000000000000e-07	-3.08353797600000
-2.85000000000000e-07	-3.12592735300000
-5.70000000000000e-07	-3.15507789200000
-1.43000000000000e-07	-3.09071257900000
-3.79000000000000e-07	-3.07863116100000
-1.12000000000000e-06	-3.08637459800000
