Out-of-plane chord rotation [rad]	Out-of-plane Moment [kN.m]
1.63E-07	31.13921764
3.43E-07	31.08917473
4.98E-07	31.46583413
-1.27E-06	31.84261972
-1.52E-07	31.43019552
-1.92E-07	31.44348383
8.49E-07	31.02599415
2.87E-07	30.97929157
9.57E-07	31.36049841
-3.49E-07	31.31099807
2.48E-07	31.32418266
9.80E-07	31.27269792
-6.96E-07	31.65710662
1.32E-06	31.23807915
9.39E-07	31.19108736
-7.28E-07	31.14281706
-2.07E-07	30.71620524
5.16E-07	30.72717078
-1.12E-06	31.12246806
6.51E-07	31.13908678
7.53E-07	31.09282193
8.69E-08	31.48594826
5.79E-07	31.88397629
9.26E-07	31.83856405
-9.80E-08	31.79058769
3.92E-07	31.80227887
8.05E-07	31.75559881
-9.03E-07	31.71226011
-2.75E-07	31.72666604
1.01E-06	31.29055109
-1.67E-06	31.24592899
3.69E-07	31.26241345
-4.77E-07	31.671179
-5.77E-08	31.68921541
5.97E-07	31.2515135
6.04E-08	31.66513755
9.20E-08	32.08151034
2.98E-07	32.04252253
-4.29E-08	32.46199936
2.58E-07	32.02345754
-1.31E-06	32.4448338
-1.44E-06	32.00347335
-6.36E-08	31.56576711
-1.76E-08	31.58781706
2.44E-07	31.14271019
-1.06E-06	31.10352287
-1.41E-06	30.65925277
2.24E-07	30.68069289
-7.74E-07	31.1104368
-1.28E-07	30.66448702
-1.28E-06	30.2160196
-5.17E-07	29.76262525
-2.17E-07	29.31145178
3.88E-07	29.33166344
3.29E-07	29.77144625
2.23E-07	29.73573669
-1.07E-06	29.69413981
-2.16E-07	29.23685788
4.19E-07	29.25792704
1.03E-06	29.69966032
1.73E-07	29.66379032
-9.22E-07	29.62744038
-9.15E-07	29.16627705
9.93E-07	28.70349087
-2.01E-07	28.66630216
1.62E-07	28.1995885
3.56E-07	28.16416141
-3.44E-07	28.61329752
9.06E-07	28.14669152
-6.39E-07	28.60042941
1.03E-06	28.13141573
-4.10E-07	28.09430444
8.32E-07	28.1181597
9.27E-07	28.07945222
1.11E-06	28.5395461
1.85E-07	28.50245553
-9.03E-07	28.46635062
-9.70E-07	28.49182815
-6.83E-07	28.01344733
4.65E-07	27.53493846
-1.52E-07	27.49875303
-9.34E-07	27.02429176
1.07E-06	27.04925498
9.36E-07	27.51676719
-5.43E-07	27.99009486
6.14E-07	27.51007515
1.33E-06	27.48000717
-1.14E-06	27.44256495
5.88E-08	26.96066008
1.30E-06	27.43878359
-4.34E-08	27.91669211
-3.95E-07	27.9436265
-1.41E-07	27.45572381
4.86E-07	26.9639789
-1.74E-07	26.92855503
-1.54E-07	26.43599917
1.36E-07	26.46086346
-1.34E-06	26.42158881
4.05E-07	26.44373702
-5.60E-07	26.40368415
6.86E-07	25.90441603
3.20E-07	26.39052561
-2.50E-07	26.34811117
3.09E-07	25.84067099
6.88E-07	26.32923931
5.10E-07	26.82012716
-1.39E-07	26.7827327
-4.45E-07	26.27391767
5.32E-07	25.76186634
1.29E-06	25.72185489
5.11E-07	25.68270748
4.87E-07	26.1772649
-2.45E-08	26.66874378
-8.38E-08	26.15930104
8.48E-07	26.17769562
2.96E-07	26.67157589
7.21E-07	27.17360807
-5.65E-07	27.12635433
-6.34E-07	26.60645585
4.90E-07	26.15871801
6.80E-08	26.22065314
1.05E-06	26.29985983
4.53E-07	26.41758126
6.87E-07	26.54969502
9.36E-07	26.7068195
1.69E-07	26.90037995
-4.46E-07	27.11282367
5.01E-07	26.85662803
-4.43E-07	27.11375371
1.03E-08	26.86369988
1.56E-06	27.14914929
-1.10E-07	27.47772945
2.89E-07	27.30832795
-7.43E-07	27.66635535
2.31E-07	27.53328681
7.06E-08	27.91066923
-4.22E-08	28.3135986
1.63E-07	28.2309738
1.37E-06	28.65926259
6.89E-07	29.1037766
8.76E-07	29.56096837
-7.98E-07	30.02797739
-1.57E-06	30.00894192
-3.27E-07	30.00318282
1.11E-06	30.00327771
2.43E-07	30.52517403
9.55E-07	31.05803189
5.22E-07	31.60636874
-2.36E-07	32.16841898
-1.31E-07	32.22554515
-1.70E-06	32.29418665
8.98E-07	32.36958274
9.35E-07	32.97841117
8.20E-07	33.60241694
6.17E-07	34.23633259
-9.57E-08	34.88096125
3.01E-07	35.00946488
-3.09E-07	35.67211981
4.44E-07	35.82831525
7.95E-07	36.52129311
-5.93E-07	37.22109958
3.39E-07	37.4056403
1.01E-06	38.1217804
-8.37E-08	38.84744256
-5.68E-08	39.05736703
1.33E-07	39.26388497
9.09E-07	39.99870801
8.45E-07	40.74680466
4.04E-07	41.49649028
1.42E-06	42.25598834
-1.97E-07	43.02354709
-1.18E-07	43.2591837
4.43E-07	43.51333716
-1.19E-06	44.29405877
-2.80E-07	44.55132814
-3.14E-07	44.82418256
1.78E-06	45.09175518
9.78E-06	45.91526124
1.99E-05	46.74223594
2.90E-05	47.49988693
3.74E-05	48.23632582
4.62E-05	48.96009924
5.74E-05	49.65179545
6.82E-05	50.33445952
7.92E-05	50.99287451
8.98E-05	51.62270757
0.000101	52.23433004
0.000111	52.83231332
0.000122	53.40867871
0.000132	54.01279203
0.000143	54.5734185
0.000153	55.10422988
0.000164	55.64083775
0.000176	56.14527189
0.000185	56.64967841
0.000195	57.14374778
0.000208	57.61948657
0.000216	58.08431487
0.000227	58.5241726
0.000237	58.95246709
0.000249	59.37257548
0.000259	59.78239221
0.000269	60.17881758
0.00028	60.55752238
0.000291	60.94397532
0.0003	61.31916958
0.00031	61.67628265
0.000321	62.03025169
0.00033	62.36480438
0.000342	62.70341304
0.000352	63.03207361
0.000362	63.35480033
0.000373	63.66454108
0.000384	63.96117621
0.000395	64.24831749
0.000405	64.53388194
0.000414	64.81374686
0.000426	65.0842585
0.000436	65.35201083
0.000446	65.5950673
0.000456	65.84136289
0.000467	66.08375556
0.000477	66.31648031
0.000488	66.55015297
0.000498	66.76859951
0.000508	66.99015609
0.000519	67.2194702
0.000529	67.44350611
0.000539	67.66578395
0.000549	67.88180244
0.000558	68.09150147
0.00057	68.30398472
0.000582	68.50247555
0.000591	68.70315251
0.000602	68.90500238
0.000612	69.09378652
0.000623	69.2845817
0.000633	69.47322147
0.000641	69.65336639
0.000654	69.83701214
0.000664	70.01283533
0.000675	70.18175538
0.000685	70.35192644
0.000696	70.52421188
0.000706	70.69186199
0.000717	70.86276359
0.000727	71.03486844
0.000736	71.20507327
0.000746	71.37106553
0.000757	71.52882466
0.000768	71.69096275
0.000779	71.85096453
0.000788	72.00305586
0.000798	72.1607048
0.000809	72.31988576
0.000818	72.47231943
0.000829	72.62338089
0.00084	72.77607793
0.00085	72.93913222
0.000861	73.10637053
0.000871	73.27502604
0.00088	73.44038441
0.000891	73.60072485
0.000901	73.77496407
0.000912	73.93823394
0.000921	74.09769491
0.000933	74.26554383
0.000943	74.42175986
0.000955	74.59307101
0.000964	74.75088837
0.000974	74.91164444
0.000985	75.07520535
0.000994	75.23091658
0.001	75.39246054
0.00101	75.55547853
0.00103	75.71672894
0.00104	75.87849126
0.00105	76.03097154
0.00106	76.18298048
0.00107	76.34327324
0.00108	76.49994773
0.00109	76.65588717
0.0011	76.81001122
0.00111	76.96543223
0.00112	77.12637199
0.00113	77.28588782
0.00114	77.43622875
0.00115	77.58762912
0.00116	77.74691137
0.00117	77.89915689
0.00118	78.04874435
0.00119	78.20303081
0.0012	78.35245253
0.00121	78.50952957
0.00122	78.65863973
0.00123	78.80521336
0.00124	78.9657974
0.00125	79.1098297
0.00126	79.26046791
0.00127	79.40830856
0.00128	79.55556003
0.00129	79.71123074
0.0013	79.86160948
0.00131	80.00061429
0.00133	80.14952374
0.00134	80.3007181
0.00135	80.4416392
0.00136	80.58632807
0.00137	80.73258954
0.00138	80.87932595
0.00139	81.01877056
0.0014	81.15901396
0.00141	81.30485571
0.00142	81.44435377
0.00143	81.5825354
0.00144	81.72325112
0.00145	81.86493843
0.00146	81.99926233
0.00147	82.14462787
0.00148	82.28761816
0.00149	82.42010131
0.0015	82.55738956
0.00151	82.70074788
0.00152	82.83529918
0.00153	82.96753567
0.00154	83.1050596
0.00155	83.24051511
0.00156	83.38451296
0.00157	83.5232875
0.00158	83.66345343
0.00159	83.8025685
0.0016	83.94062082
0.00161	84.08236277
0.00162	84.22059776
0.00163	84.36161193
0.00164	84.49442304
0.00165	84.63626015
0.00166	84.78328875
0.00167	84.92300093
0.00168	85.0657791
0.0017	85.20395723
0.00171	85.34139884
0.00172	85.48719994
0.00173	85.62401258
0.00174	85.76036017
0.00175	85.89602033
0.00176	86.03545015
0.00177	86.18007539
0.00178	86.31371839
0.00179	86.45715293
0.0018	86.60393793
0.00181	86.73602951
0.00182	86.87966294
0.00183	87.01419115
0.00184	87.15196349
0.00185	87.29116109
0.00186	87.4197346
0.00187	87.5591957
0.00188	87.69330007
0.00189	87.83135825
0.0019	87.96628948
0.00191	88.10053893
0.00192	88.2341506
0.00193	88.37263973
0.00194	88.51248044
0.00195	88.64244092
0.00196	88.7764678
0.00197	88.90661738
0.00198	89.0427479
0.002	89.18003681
0.002	89.31666575
0.00201	89.447269
0.00202	89.58139201
0.00204	89.73412274
0.00204	89.86818389
0.00206	89.99424855
0.00207	90.12944139
0.00208	90.26197381
0.00209	90.3933881
0.0021	90.52566219
0.00211	90.66269151
0.00212	90.79143387
0.00213	90.93029509
0.00214	91.06441108
0.00215	91.20119567
0.00216	91.33949097
0.00217	91.47037618
0.00218	91.5977708
0.00219	91.72592099
0.0022	91.85363723
0.00221	91.99269765
0.00222	92.12674631
0.00223	92.25915808
0.00224	92.39200832
0.00225	92.51782754
0.00226	92.64775829
0.00227	92.77652291
0.00228	92.89967866
0.00229	93.0253296
0.0023	93.15382907
0.00231	93.27816018
0.00232	93.40515522
0.00233	93.53597359
0.00234	93.6645329
0.00235	93.7931901
0.00236	93.92313105
0.00237	94.05176648
0.00238	94.17826122
0.0024	94.30410009
0.00241	94.4257872
0.00242	94.54443041
0.00243	94.67339253
0.00244	94.79948627
0.00245	94.93228164
0.00246	95.06184709
0.00247	95.1908832
0.00248	95.32021026
0.00249	95.45683723
0.0025	95.58756568
0.00251	95.71157143
0.00252	95.84087864
0.00253	95.96886727
0.00254	96.0960997
0.00255	96.23108318
0.00256	96.3594274
0.00257	96.49086835
0.00258	96.63214959
0.00259	96.76518796
0.0026	96.89859018
0.00261	97.02711208
0.00262	97.15814665
0.00262	97.29497472
0.00264	97.41904606
0.00265	97.53971597
0.00266	97.67080956
0.00267	97.80941082
0.00268	97.94406334
0.00269	98.08540694
0.0027	98.22203268
0.00271	98.34882684
0.00272	98.48328765
0.00273	98.62469311
0.00274	98.75459955
0.00275	98.88954641
0.00276	99.0182761
0.00277	99.15167863
0.00278	99.29038441
0.00279	99.43408485
0.00281	99.5719774
0.00282	99.70585798
0.00283	99.82921603
0.00284	99.95965715
0.00285	100.0899643
0.00286	100.2229835
0.00287	100.3573174
0.00288	100.4948942
0.00289	100.6299349
0.0029	100.7715442
0.00291	100.9048742
0.00292	101.0343704
0.00293	101.1770639
0.00294	101.3106863
0.00295	101.4413987
0.00296	101.5727211
0.00297	101.7079778
0.00298	101.8470749
0.00299	101.9849416
0.003	102.1145888
0.00301	102.2527817
0.00302	102.3857426
0.00303	102.5306602
0.00304	102.6694461
0.00305	102.806654
0.00306	102.9398219
0.00307	103.0747241
0.00308	103.2146566
0.00309	103.3495765
0.0031	103.4835723
0.00311	103.6214795
0.00312	103.7634513
0.00313	103.909852
0.00314	104.0507433
0.00315	104.1872207
0.00316	104.321889
0.00317	104.4559014
0.00319	104.5934955
0.00319	104.7245523
0.00321	104.8575444
0.00322	104.9904013
0.00323	105.1247541
0.00324	105.2598585
0.00325	105.3862185
0.00326	105.5225675
0.00327	105.650503
0.00328	105.7751061
0.00329	105.8997361
0.0033	106.0260099
0.00331	106.1441465
0.00332	106.2656465
0.00333	106.397821
0.00334	106.5157582
0.00335	106.6402369
0.00336	106.7589953
0.00337	106.8750674
0.00338	107.0076149
0.00339	107.1257571
0.0034	107.2400124
0.00341	107.3566629
0.00342	107.4672739
0.00343	107.595107
0.00344	107.7149471
0.00345	107.8217633
0.00346	107.9413739
0.00347	108.0518772
0.00348	108.1669514
0.00349	108.2822988
0.0035	108.3917221
0.00351	108.5000128
0.00352	108.6084466
0.00353	108.7231473
0.00354	108.8312448
0.00355	108.9434868
0.00356	109.0518413
0.00357	109.1563452
0.00358	109.2645123
0.0036	109.3676197
0.0036	109.4732281
0.00362	109.5838
0.00363	109.6838198
0.00364	109.7878847
0.00365	109.8860133
0.00366	109.9883295
0.00367	110.0865618
0.00368	110.1859698
0.00369	110.2824145
0.0037	110.3775648
0.00371	110.4752725
0.00372	110.5695929
0.00373	110.6594521
0.00374	110.7429082
0.00375	110.8270966
0.00376	110.9143769
0.00377	111.0084858
0.00378	111.0946023
0.00379	111.1866178
0.0038	111.2693816
0.00381	111.3562413
0.00382	111.448518
0.00383	111.5319667
0.00384	111.620273
0.00385	111.7078956
0.00386	111.7980627
0.00387	111.8884357
0.00388	111.9748526
0.00389	112.0680249
0.003902535	112.1624065
0.003912495	112.2512056
0.00392234	112.3490504
0.003933657	112.4363708
0.003943513	112.5228496
0.003953892	112.6178002
0.003963098	112.7056291
0.003974635	112.7903791
0.003984114	112.8874466
0.003993634	112.972737
0.004005305	113.0588423
0.004015299	113.1505217
0.004025305	113.2348075
0.004034795	113.3263766
0.004045843	113.4082416
0.004055764	113.4967955
0.00406645	113.5938145
0.004077112	113.6785832
0.00408665	113.7724428
0.004096072	113.8640286
0.004107072	113.943211
0.00411617	114.0298702
0.004127623	114.1188517
0.004139152	114.209045
0.004148367	114.2932421
0.004158586	114.3744863
0.004168551	114.4567063
0.004179783	114.5459101
0.004188563	114.6356622
0.004198499	114.7111574
0.004210021	114.8040887
0.004220644	114.8846163
0.004229986	114.9561155
0.004241044	115.0486941
0.004248943	115.1321554
0.00426028	115.213452
0.004271863	115.3036313
0.0042811	115.3857308
0.004290729	115.4736621
0.004301138	115.5608007
0.004312227	115.6458462
0.004322692	115.7360558
0.004332403	115.8205019
0.004342324	115.9122256
0.00435399	116.003007
0.004362246	116.0935824
0.004373485	116.1791059
0.004384726	116.2632069
0.004394981	116.3540261
0.004403986	116.4413528
0.004414828	116.5291837
0.004424017	116.6092509
0.004434474	116.69699
0.004445408	116.7876303
0.004455377	116.8757854
0.004465615	116.9603474
0.004475655	117.0456656
0.004485996	117.1265741
0.004495804	117.2109738
0.004506776	117.2944777
0.00451681	117.3753446
0.004527862	117.4577441
0.004536365	117.5340597
0.004548335	117.6161152
0.004558748	117.695843
0.004568476	117.7716602
0.004578945	117.849206
0.004587171	117.934431
0.004597701	118.0120643
0.00461009	118.0890338
0.004619011	118.1682562
0.004629061	118.2479346
0.004639661	118.3317738
0.004648381	118.4157857
0.004660707	118.4974694
0.004670312	118.5758179
0.004680053	118.6542975
0.004689633	118.7388333
0.004699969	118.8169883
0.004710663	118.8970637
0.004720917	118.980704
0.004731803	119.0640649
0.004742544	119.1487294
0.004752889	119.2313739
0.004762089	119.3141545
0.004774592	119.3989651
0.004783458	119.478407
0.004792487	119.554775
0.004803661	119.639853
0.004814394	119.7289092
0.004824394	119.8053145
0.004834265	119.8877888
0.004844673	119.9797487
0.004853854	120.0557968
0.004864135	120.1398255
0.004874597	120.2221542
0.004885723	120.2978707
0.004895741	120.3884955
0.004905505	120.4606238
0.004914821	120.5429096
0.00492701	120.6238874
0.004937047	120.6905128
0.004947166	120.7749395
0.004957461	120.8469675
0.004967604	120.9314398
0.00497837	121.0049694
0.004987174	121.0840471
0.00499894	121.1613513
0.005009335	121.2338569
0.005018243	121.3091381
0.005029591	121.3886262
0.00503889	121.4640449
0.005050055	121.5432566
0.00505996	121.6166782
0.005069779	121.6862608
0.005081167	121.7615835
0.005090073	121.835813
0.0051011	121.9193423
0.005110872	121.9963121
0.005120297	122.0646892
0.005130986	122.1463334
0.005140333	122.2232253
0.00515228	122.2978123
0.005162437	122.3807904
0.005172967	122.4618766
0.005182871	122.5390274
0.005192339	122.6201118
0.005203604	122.6977439
0.005213436	122.778152
0.005223392	122.8570236
0.005235707	122.9327649
0.00524319	123.0140047
0.005255014	123.0841698
0.005264792	123.1620075
0.005274178	123.2322866
0.005284506	123.3112905
0.005295367	123.3874086
0.005305738	123.4598877
0.005316028	123.536229
0.00532497	123.6027163
0.005336191	123.6857965
0.005346186	123.7649743
0.005356897	123.8354137
0.005366971	123.9092186
0.005376546	123.9806375
0.005386703	124.0513262
0.005397685	124.1323618
0.005408348	124.2070815
0.00541801	124.2779653
0.005428218	124.3517222
0.005438361	124.4233361
0.005448698	124.5019023
0.005458159	124.5733286
0.005469225	124.6483582
0.00547943	124.7175465
0.00548963	124.7961012
0.005499896	124.8706133
0.005510667	124.9340265
0.005519469	125.0145533
0.005531137	125.078481
0.005540517	125.1455757
0.005550748	125.2303283
0.005560519	125.2972737
0.005571703	125.3722458
0.005581473	125.4401847
0.005591426	125.5124834
0.00560068	125.5863009
0.005612485	125.6665326
0.005621553	125.7348501
0.005630594	125.8110305
0.005642696	125.8813668
0.005652761	125.9653209
0.005663787	126.0343968
0.005673678	126.1101844
0.005683302	126.1892264
0.005694009	126.259812
0.005705684	126.3366128
0.005714406	126.4000872
0.005724784	126.4756599
0.005734773	126.5559466
0.005745093	126.6184746
0.005755486	126.6883836
0.005764458	126.7626179
0.005774095	126.8337534
0.005786461	126.9033105
0.005795047	126.9769733
0.005805399	127.0462203
0.005816173	127.1224146
0.005826054	127.1937334
0.005837502	127.2598507
0.005846131	127.3361388
0.005856934	127.4032204
0.005866777	127.4722893
0.005877542	127.5437047
0.00588777	127.6179435
0.005897731	127.686519
0.005907009	127.7562824
0.005918112	127.8217122
0.005927238	127.8927446
0.005937908	127.9717172
0.005947716	128.0354966
0.005959149	128.1006552
0.005967917	128.1677918
0.005979203	128.2466418
0.005989541	128.3194074
0.006000679	128.3937084
0.006009661	128.4667018
0.006021259	128.5314354
0.006031134	128.6100179
0.006041491	128.683886
