Out-of-plane chord rotation [rad]	Out-of-plane Moment [kN.m]
0.001582739	33.88293487
0.001593562	34.00573311
0.001602452	34.11589827
0.001613111	34.13481554
0.001624528	34.19061682
0.001633759	34.23885163
0.001644813	34.34907271
0.001653945	34.52256582
0.001664286	34.54920711
0.001674861	34.62079482
0.001683852	34.67125121
0.00169562	34.70679209
0.001706228	34.86569572
0.001716308	34.91210025
0.001726684	34.96925146
0.001736633	35.10524674
0.00174682	35.13461427
0.001757769	35.23483584
0.001767951	35.28185157
0.001778723	35.37163959
0.001787157	35.51924215
0.001797871	35.56465631
0.001808665	35.65827223
0.001818917	35.6759814
0.001830767	35.78785145
0.001839872	35.86530245
0.001850485	35.86770986
0.001859007	36.0975991
0.001870316	36.1137688
0.001880086	36.18162853
0.001892033	36.2528416
0.00190179	36.31933405
0.00191089	36.35566325
0.001921531	36.53575897
0.001932166	36.53742373
0.001942425	36.62305126
0.001951942	36.70959691
0.001963481	36.733662
0.00197376	36.83826807
0.00198358	36.98881468
0.001995269	37.0473171
0.002003685	37.07008178
0.002013773	37.17123157
0.002024829	37.25467145
0.002035017	37.32914038
0.002044993	37.36140682
0.002055661	37.46360327
0.002066599	37.57237031
0.002075248	37.61145965
0.002086512	37.63508442
0.002095712	37.79173927
0.002107531	37.84615571
0.00211753	37.94080099
0.002126844	38.00542594
0.002137904	38.07076934
0.002147349	38.19171591
0.002156845	38.21835663
0.002169167	38.32560467
0.002178501	38.36463683
0.002189587	38.47945526
0.002199032	38.47202888
0.002209453	38.47753818
0.002218708	38.60842159
0.002230313	38.66524441
0.002240741	38.58750366
0.00225107	38.61482673
0.00226138	38.66340261
0.002271126	38.77520387
0.002282002	38.80103256
0.00229106	38.8982065
0.002302632	38.955225
0.002312198	39.03372857
0.00232237	39.14984836
0.002332978	39.15119568
0.002342788	39.26895564
0.00235327	39.3731667
0.002362625	39.42784097
0.002373484	39.45626596
0.002384705	39.56216118
0.002396153	39.58360485
0.002405273	39.66163437
0.002415301	39.78286816
0.002425226	39.82847773
0.002435886	40.00389757
0.002446903	39.98709354
0.002456926	40.12900366
0.002465342	40.19562596
0.002477975	40.24527693
0.002485679	40.31476711
0.002498644	40.33508213
0.002507169	40.45361013
0.002517393	40.48940568
0.002527451	40.61981096
0.00253965	40.71823532
0.002548541	40.71075765
0.002558439	40.86664298
0.002568821	40.97251809
0.002579789	41.0479126
0.002590191	41.07523514
0.002600246	41.12792739
0.002609185	41.20155305
0.002620895	41.2739399
0.002620705	41.39224961
0.002641153	41.07459792
0.002650872	41.54550671
0.002661642	41.81986222
0.002671495	41.7812157
0.002682652	41.82315394
0.002693409	41.78206469
0.002703185	41.83887276
0.00271275	41.92215522
0.002723521	42.08584211
0.002734059	42.03512131
0.002744701	42.1302274
0.002752914	42.26663898
0.002764721	42.25314446
0.002773802	42.35757331
0.00278495	42.44559749
0.002794357	42.48457992
0.002805065	42.61279741
0.00281611	42.57152027
0.002825905	42.64062417
0.002836476	42.77130857
0.00284709	42.79503531
0.002858127	42.93823289
0.002866315	42.98044113
0.002876244	43.02027075
0.002888124	43.21663947
0.002898092	43.27775317
0.002906494	43.26548373
0.002918526	43.40123368
0.002928982	43.39109319
0.002938513	43.50109115
0.002950036	43.53008041
0.002959878	43.6285685
0.002969563	43.66249638
0.002980427	43.79650582
0.002988834	43.80025685
0.003000563	43.96087697
0.003009779	43.94928715
0.003021236	44.07971172
0.003031408	44.10239171
0.00304213	44.16300845
0.003050881	44.17757482
0.003061171	44.27686942
0.003071886	44.31495735
0.003081541	44.39562879
0.003092502	44.44844508
0.003102522	44.54885652
0.003112114	44.60533405
0.003120632	44.65298992
0.003132397	44.77611507
0.003143339	44.89289788
0.003153677	44.88854975
0.00316344	44.98283714
0.003174975	45.06803137
0.003185693	45.05774809
0.003194763	45.24204804
0.003205106	45.20416953
0.003217979	45.31895129
0.003226208	45.39402673
0.003235519	45.46746732
0.00324606	45.58109901
0.003256428	45.53277895
0.003266267	45.64443723
0.003276746	45.7390265
0.003288106	45.77707688
0.003297891	45.83741956
0.003307786	45.90834555
0.003318984	45.99226104
0.003328291	46.0567536
0.003338878	46.11475485
0.003348746	46.20556501
0.003359226	46.27404068
0.003369394	46.35287595
0.003379976	46.36918097
0.003390414	46.45730737
0.003400072	46.57273084
0.003411105	46.58514482
0.003419711	46.71029124
0.003430697	46.78428372
0.003440112	46.86707747
0.003451852	46.93899006
0.003461505	46.88234421
0.003472473	47.06949073
0.003481863	47.11151919
0.003492547	47.16317552
0.003501888	47.17701205
0.003513047	47.36724968
0.00352328	47.45240412
0.003534465	47.44048344
0.003543465	47.56066148
0.003553747	47.55607814
0.003563744	47.65130029
0.003574363	47.75079263
0.00358459	47.74292881
0.003595205	47.85375595
0.003604734	47.93417874
0.003615704	47.96184035
0.003625838	48.09602529
0.003635216	48.12535705
0.003647008	48.23212564
0.003655816	48.2475794
0.003666305	48.34097588
0.003676976	48.42110948
0.003687012	48.38431669
0.003697559	48.5045006
0.003706996	48.5309167
0.003716673	48.61614247
0.003727978	48.65212433
0.003738182	48.70341848
0.003748063	48.84970842
0.003759097	48.9283726
0.003769814	48.97135412
0.003780051	49.06397813
0.003787937	49.10968363
0.003799672	49.14776515
0.003810588	49.23606663
0.003819618	49.3002738
0.003831561	49.43399401
0.003840943	49.47740451
0.003851411	49.5142917
0.003862629	49.60960912
0.003871221	49.64351433
0.003881275	49.74528797
0.003891667	49.80491642
0.003902535	49.87404338
0.003912495	49.94661997
0.00392234	49.98836154
0.003933657	50.03983969
0.003943513	50.13504821
0.003953892	50.15514713
0.003963098	50.2538168
0.003974635	50.29932285
0.003984114	50.35063226
0.003993634	50.3643984
0.004005305	50.49883518
0.004015299	50.57580739
0.004025305	50.63630859
0.004034795	50.63667451
0.004045843	50.70194614
0.004055764	50.90336432
0.00406645	50.86528715
0.004077112	50.9931584
0.00408665	51.00596628
0.004096072	51.0163843
0.004107072	51.12930568
0.00411617	51.1825755
0.004127623	51.30610829
0.004139152	51.29266678
0.004148367	51.36923896
0.004158586	51.40876462
0.004168551	51.4866558
0.004179783	51.61489473
0.004188563	51.63467022
0.004198499	51.73892068
0.004210021	51.74953121
0.004220644	51.79886613
0.004229986	51.93786054
0.004241044	51.9710583
0.004248943	52.05284839
0.00426028	52.07471325
0.004271863	52.14548269
0.0042811	52.18435642
0.004290729	52.26606583
0.004301138	52.34264911
0.004312227	52.47206853
0.004322692	52.46378683
0.004332403	52.55093781
0.004342324	52.65454289
0.00435399	52.69293173
0.004362246	52.78753822
0.004373485	52.82751102
0.004384726	52.88555245
0.004394981	52.92769107
0.004403986	53.00796535
0.004414828	53.04816824
0.004424017	53.13459524
0.004434474	53.17482341
0.004445408	53.23387339
0.004455377	53.2955198
0.004465615	53.37659368
0.004475655	53.47323343
0.004485996	53.50107258
0.004495804	53.55379039
0.004506776	53.65689962
0.00451681	53.66927166
0.004527862	53.72941315
0.004536365	53.83087206
0.004548335	53.81278459
0.004558748	53.9307592
0.004568476	53.98829053
0.004578945	54.09036552
0.004587171	54.06956306
0.004597701	54.13501549
0.00461009	54.18980731
0.004619011	54.24922493
0.004629061	54.32755521
0.004639661	54.38850684
0.004648381	54.46556474
0.004660707	54.52129372
