Rotation	Base moment [kN.m]	Axial Disp. [mm]
-0.00000468	24.4076	-0.16371
-0.00000453	24.3965	-0.16371
-0.00000612	24.3774	-0.16371
-0.00000765	24.3568	-0.16371
-0.00000987	24.3431	-0.16371
-0.00001366	24.3301	-0.16371
-0.0000165	24.3157	-0.16371
-0.00001675	24.3029	-0.16371
-0.0000151	24.2889	-0.16371
-0.00001457	24.2744	-0.16371
-0.00001675	24.2614	-0.16371
-0.00001834	24.2487	-0.16371
-0.00001759	24.242	-0.165529
-0.00001606	24.2403	-0.167348
-0.00001445	24.237	-0.169167
-0.00001302	24.2367	-0.169167
-0.0000114	24.2419	-0.170986
-0.00000911	24.2456	-0.170986
-0.00000734	24.2428	-0.170986
-0.00000691	24.2372	-0.172805
-0.0000069	24.236	-0.172805
-0.00000672	24.235	-0.172805
-0.00000702	24.2293	-0.174624
-0.00000855	24.2244	-0.176443
-0.00001021	24.2219	-0.176443
-0.00001074	24.2178	-0.174624
-0.000011	24.2054	-0.174624
-0.00001172	24.1852	-0.174624
-0.00001213	24.1714	-0.174624
-0.0000117	24.1656	-0.174624
-0.00001126	24.16	-0.176443
-0.00001156	24.1567	-0.174624
-0.00001215	24.1538	-0.172805
-0.00001292	24.1494	-0.172805
-0.0000142	24.1459	-0.172805
-0.00001577	24.1457	-0.174624
-0.00001731	24.1435	-0.178262
-0.00001777	24.1328	-0.180081
-0.00001627	24.1193	-0.180081
-0.00001421	24.1062	-0.180081
-0.00001313	24.0892	-0.180081
-0.0000122	24.0746	-0.180081
-0.0000109	24.0689	-0.180081
-0.00000998	24.0689	-0.1819
-0.00000972	24.069	-0.183719
-0.00000929	24.0676	-0.185538
-0.00000888	24.0672	-0.183719
-0.00000991	24.0637	-0.1819
-0.0000113	24.0565	-0.1819
-0.00001113	24.0531	-0.1819
-0.00000969	24.0543	-0.183719
-0.00000843	24.0492	-0.183719
-0.00000814	24.0345	-0.183719
-0.00000824	24.0221	-0.183719
-0.00000801	24.0156	-0.183719
-0.00000821	24.0072	-0.183719
-0.00000907	23.9936	-0.183719
-0.00000951	23.9788	-0.183719
-0.00000978	23.9692	-0.185538
-0.00001072	23.9644	-0.185538
-0.00001175	23.9595	-0.183719
-0.00001187	23.9523	-0.185538
-0.00001149	23.9443	-0.187357
-0.00001103	23.94	-0.187357
-0.0000097	23.9379	-0.187357
-0.00000778	23.9329	-0.187357
-0.0000065	23.9235	-0.189176
-0.00000653	23.9098	-0.190995
-0.00000823	23.8969	-0.192814
-0.00001095	23.8919	-0.196452
-0.00001235	23.8988	-0.198271
-0.00001156	23.9098	-0.196452
-0.00001077	23.9102	-0.194633
-0.00001095	23.8985	-0.192814
-0.00001052	23.8814	-0.190995
-0.0000084	23.8652	-0.189176
-0.00000559	23.8539	-0.187357
-0.00000369	23.8447	-0.187357
-0.00000318	23.834	-0.189176
-0.00000381	23.8124	-0.190995
-0.0000049	23.7771	-0.192814
-0.00000644	23.74	-0.194633
-0.00000893	23.7075	-0.196452
-0.00001147	23.6785	-0.198271
-0.00001204	23.6502	-0.20009
-0.00001073	23.6182	-0.20009
-0.00000998	23.5844	-0.198271
-0.00001044	23.5534	-0.198271
-0.00001144	23.5221	-0.20009
-0.00001103	23.4847	-0.201909
-0.00000821	23.4434	-0.205547
-0.00000554	23.4015	-0.205547
-0.00000455	23.3531	-0.205547
-0.00000507	23.298	-0.203728
-0.00000657	23.246	-0.203728
-0.00000808	23.2033	-0.201909
-0.00000914	23.1647	-0.201909
-0.00001074	23.1154	-0.201909
-0.00001354	23.0542	-0.203728
-0.00001591	22.9956	-0.201909
-0.00001727	22.9484	-0.201909
-0.00001832	22.9136	-0.203728
-0.00001837	22.8839	-0.203728
-0.00001702	22.8441	-0.205547
-0.00001527	22.79	-0.205547
-0.00001416	22.7356	-0.205547
-0.00001303	22.6935	-0.205547
-0.00001138	22.6618	-0.205547
-0.00001092	22.6335	-0.205547
-0.0000122	22.6055	-0.205547
-0.00001422	22.5752	-0.207366
-0.00001626	22.5389	-0.207366
-0.00001818	22.5013	-0.207366
-0.00001991	22.4675	-0.207366
-0.00002089	22.4344	-0.207366
-0.00002137	22.4015	-0.207366
-0.00002115	22.3746	-0.209185
-0.00001958	22.3602	-0.211004
-0.00001734	22.3565	-0.212823
-0.00001553	22.3577	-0.214642
-0.00001437	22.3613	-0.214642
-0.00001377	22.3624	-0.216461
-0.00001446	22.3602	-0.21828
-0.00001612	22.3658	-0.220099
-0.00001772	22.3798	-0.221918
-0.00001958	22.3928	-0.223737
-0.00002119	22.4117	-0.225556
-0.00002127	22.4405	-0.225556
-0.00002041	22.4667	-0.223737
-0.00001988	22.4845	-0.221918
-0.00002009	22.4964	-0.220099
-0.0000203	22.5031	-0.220099
-0.00001975	22.5058	-0.221918
-0.00001958	22.5034	-0.225556
-0.00002077	22.4902	-0.227375
-0.00002237	22.4668	-0.229194
-0.00002372	22.4451	-0.229194
-0.00002456	22.4343	-0.229194
-0.00002445	22.4269	-0.229194
-0.00002411	22.4162	-0.231013
-0.00002385	22.4102	-0.232832
-0.00002333	22.4144	-0.232832
-0.00002274	22.4214	-0.234651
-0.00002189	22.424	-0.234651
-0.0000211	22.4193	-0.23647
-0.00002066	22.4091	-0.240108
-0.00002012	22.4022	-0.241927
-0.00001955	22.4019	-0.243746
-0.0000192	22.3999	-0.243746
-0.00001975	22.3921	-0.245565
-0.0000214	22.3778	-0.247384
-0.00002284	22.362	-0.247384
-0.00002304	22.3579	-0.249203
-0.00002231	22.3641	-0.251022
-0.00002146	22.3709	-0.252841
-0.00002091	22.3734	-0.25466
-0.00002113	22.3707	-0.256479
-0.000022	22.3678	-0.256479
