Rotation	Base moment [kN.m]	Axial Disp. [mm]
-0.00001873	23.9239	0
-0.00001821	23.9288	-0.001819
-0.00001856	23.9321	-0.001819
-0.0000191	23.9341	0
-0.00001959	23.935	-0.001819
-0.00002004	23.9398	-0.001819
-0.00002049	23.9549	-0.003638
-0.00002109	23.9752	-0.001819
-0.00002144	23.9926	-0.001819
-0.00002065	24.0033	0
-0.00001922	24.002	0.001819
-0.00001857	23.9877	0.003638
-0.000018	23.967	0.005457
-0.00001722	23.9488	0.003638
-0.00001715	23.937	0.003638
-0.00001694	23.9305	0.001819
-0.0000164	23.93	0
-0.00001623	23.9397	0
-0.00001634	23.9597	0.001819
-0.00001634	23.9818	0.001819
-0.00001618	23.9968	0.001819
-0.00001591	24.0011	0.001819
-0.00001594	23.9968	0.001819
-0.00001664	23.9912	0.001819
-0.00001755	23.9904	0
-0.00001858	23.9899	-0.001819
-0.0000195	23.9781	-0.003638
-0.00001975	23.958	-0.003638
-0.00001909	23.9438	-0.005457
-0.00001789	23.9396	-0.003638
-0.00001599	23.9367	-0.003638
-0.00001372	23.9281	-0.001819
-0.00001303	23.9203	-0.001819
-0.00001369	23.9187	-0.001819
-0.00001439	23.9161	0
-0.00001567	23.9064	0
-0.00001755	23.8899	0.001819
-0.00001902	23.875	0.001819
-0.0000202	23.8702	0.001819
-0.00002125	23.8692	0.003638
-0.00002157	23.868	0.001819
-0.00002137	23.8737	0.001819
-0.00002155	23.8842	0.003638
-0.00002227	23.8955	0.005457
-0.00002217	23.91	0.007276
-0.00002104	23.9237	0.007276
-0.00002022	23.9346	0.007276
-0.00001972	23.9469	0.005457
-0.00001928	23.9556	0.005457
-0.00001877	23.9542	0.003638
-0.00001734	23.9478	0
-0.00001515	23.9446	-0.003638
-0.0000133	23.9482	-0.003638
-0.00001308	23.9548	-0.003638
-0.00001501	23.9595	-0.001819
-0.00001741	23.9669	-0.001819
-0.00001874	23.9768	-0.001819
-0.0000195	23.9817	-0.001819
-0.00002032	23.9811	-0.001819
-0.00002118	23.9776	-0.001819
-0.00002118	23.9756	-0.003638
-0.00001986	23.9747	-0.001819
-0.00001802	23.97	-0.001819
-0.00001615	23.9641	-0.001819
-0.00001477	23.9654	-0.001819
-0.00001435	23.9769	-0.001819
-0.00001458	23.9939	-0.001819
-0.00001517	24.0134	0.001819
-0.00001552	24.0287	0.003638
-0.00001516	24.0348	0.003638
-0.00001498	24.0398	0.003638
-0.00001564	24.0457	0.003638
-0.00001659	24.0485	0.001819
-0.00001741	24.0492	0.001819
-0.00001805	24.0465	0.003638
-0.00001824	24.0358	0.003638
-0.00001841	24.0203	0.001819
-0.0000194	24.0141	0
-0.00002068	24.0229	-0.003638
-0.00002151	24.0381	-0.003638
-0.00002211	24.0516	-0.005457
-0.00002141	24.0669	-0.005457
-0.00001901	24.0852	-0.005457
-0.00001705	24.1019	-0.007276
-0.00001634	24.1149	-0.005457
-0.00001629	24.1194	-0.005457
-0.00001653	24.1096	-0.003638
-0.00001633	24.0918	-0.003638
-0.00001486	24.0799	-0.003638
-0.00001265	24.0798	-0.001819
-0.0000116	24.0904	-0.001819
-0.00001287	24.1068	-0.003638
-0.00001542	24.1234	-0.001819
-0.00001771	24.1375	0.001819
-0.0000192	24.1479	0.003638
-0.00001953	24.1547	0.005457
-0.00001896	24.1609	0.005457
-0.00001831	24.1681	0.005457
-0.00001826	24.1722	0.005457
-0.00001873	24.1718	0.005457
-0.0000186	24.1691	0.003638
-0.00001769	24.1703	0
-0.00001714	24.1802	-0.003638
-0.00001747	24.1929	-0.005457
-0.00001844	24.2005	-0.005457
-0.00001968	24.1993	-0.005457
-0.00002076	24.1963	-0.005457
-0.00002082	24.1997	-0.005457
-0.00001944	24.2037	-0.001819
-0.00001796	24.2005	0.001819
-0.00001773	24.1916	0.001819
-0.00001828	24.1813	0.001819
-0.00001857	24.1719	0.001819
-0.00001849	24.1648	0.001819
-0.00001827	24.1599	0.001819
-0.00001851	24.1569	0
-0.00001879	24.1577	-0.001819
-0.00001819	24.1627	-0.001819
-0.00001723	24.1713	-0.001819
-0.00001684	24.1825	0.001819
-0.00001709	24.1886	0.001819
-0.0000172	24.1888	0.001819
-0.0000172	24.186	0.003638
