Time[sec]	Top_Inplane_Disp[mm]	Top_Inplane_Rotation[rad]
20.61914063	-0.004642533	3.56E-05
20.71875	0.00399219	5.96E-05
20.81835938	-0.002071439	5.10E-06
20.91796875	0.00098564	3.78E-05
21.01757813	0.001187168	5.30E-06
21.1171875	-0.001313584	7.11E-05
21.21679688	0.002934737	3.84E-05
21.31640625	0.000296707	5.80E-06
21.41601563	-0.004150638	6.52E-05
21.515625	0.003244018	5.20E-06
21.61523438	0.000652189	8.00E-06
21.71484375	-0.001808656	3.00E-05
21.81445313	0.001106001	4.90E-06
21.9140625	0.003226676	2.60E-05
22.01367188	0.001463601	6.80E-06
22.11328125	-0.00184763	3.72E-05
22.21289063	0.002890758	5.77E-05
22.3125	0.001241223	2.90E-05
22.41210938	0.002311049	6.02E-05
22.51171875	0.002012887	1.96E-05
22.61132813	-0.001715285	3.81E-05
22.7109375	0.003278764	3.05E-05
22.81054688	0.00409484	4.18E-05
22.91015625	0.001656047	2.61E-05
23.00976563	-0.001548342	5.10E-06
23.109375	-0.00133371	5.70E-06
23.20898438	-0.000432048	4.86E-05
23.30859375	-0.000181219	9.80E-06
23.40820313	-0.004269502	2.94E-05
23.5078125	0.002532837	6.84E-05
23.60742188	0.002222768	4.80E-06
23.70703125	-0.000965641	6.88E-05
23.80664063	0.00161235	6.06E-05
23.90625	-0.001492427	6.00E-06
24.00585938	0.001874058	1.69E-05
24.10546875	0.000775912	3.14E-05
24.20507813	0.001319717	3.82E-05
24.3046875	0.000616117	4.18E-05
24.40429688	0.000807296	4.52E-05
24.50390625	0.000642003	5.20E-06
24.60351563	0.002047018	6.50E-06
24.703125	-3.27E-05	3.07E-05
24.80273438	0.001899785	8.10E-06
24.90234375	-0.004075349	4.40E-06
25.00195313	-0.000866444	4.72E-05
25.1015625	0.004203343	4.65E-05
25.20117188	-0.001274272	4.05E-05
25.30078125	0.000613268	5.86E-05
25.40039063	-0.001267124	7.07E-05
25.5	-0.00038916	4.81E-05
25.59960938	0.000378106	4.82E-05
25.69921875	-0.001777237	3.90E-05
25.79882813	-1.23E-05	3.79E-05
25.8984375	-0.002735654	3.78E-05
25.99804688	0.006068263	4.60E-06
26.09765625	0.002359574	4.20E-06
26.19726563	0.002311077	3.76E-05
26.296875	0.002161326	3.28E-05
26.39648438	0.00353507	7.15E-05
26.49609375	-0.000740292	3.29E-05
26.59570313	-0.002211881	3.72E-05
26.6953125	-0.001106425	5.00E-06
26.79492188	-0.001980814	5.87E-05
26.89453125	-0.000835436	7.16E-05
26.99414063	-0.003904721	3.80E-05
27.09375	-0.000433206	3.77E-05
27.19335938	-0.000590802	2.85E-05
27.29296875	0.002928066	8.30E-06
27.39257813	-0.002954523	6.20E-05
27.4921875	0.003269642	2.51E-05
27.59179688	-0.000108189	5.12E-05
27.69140625	0.002355473	1.41E-05
27.79101563	-0.00032432	3.82E-05
27.890625	0.000331385	1.23E-05
27.99023438	-0.001674357	6.10E-05
28.08984375	0.000853515	4.54E-05
28.18945313	0.003482995	7.70E-06
28.2890625	-0.001870899	3.38E-05
28.38867188	0.001170722	2.95E-05
28.48828125	0.001380924	1.61E-05
28.58789063	0.000248599	5.40E-06
28.6875	-0.000691125	6.16E-05
28.78710938	0.002222837	7.10E-06
28.88671875	0.001266126	1.58E-05
28.98632813	0.002432061	5.65E-05
29.0859375	0.001546994	3.80E-05
29.18554688	0.000420579	4.40E-06
29.28515625	0.003881732	3.76E-05
29.38476563	-0.000485836	1.17E-05
29.484375	-0.000766119	3.26E-05
29.58398438	0.000598513	3.80E-05
29.68359375	0.004255433	1.42E-05
29.78320313	0.001935849	2.83E-05
29.8828125	-0.001545642	2.68E-05
29.98242188	-0.00359342	3.73E-05
30.08203125	0.000781663	3.79E-05
30.18164063	0.004247812	6.30E-06
30.28125	0.001134402	6.41E-05
30.38085938	0.003172697	1.46E-05
30.48046875	0.000563289	4.30E-05
30.58007813	-0.00093069	4.11E-05
30.6796875	0.00294338	2.95E-05
30.77929688	0.0005273	5.73E-05
30.87890625	-0.002281164	7.10E-06
30.97851563	0.001200296	7.50E-06
31.078125	0.003421593	3.31E-05
31.17773438	-2.68E-05	5.73E-05
31.27734375	0.000658192	1.61E-05
31.37695313	-0.004641979	-6.30E-06
31.4765625	0.000176361	1.96E-05
31.57617188	-0.001948519	3.34E-05
31.67578125	-0.001097739	4.80E-06
31.77539063	0.000438659	2.10E-06
31.875	-0.005457862	3.70E-06
31.97460938	0.001073497	5.40E-05
32.07421875	0.000536574	8.60E-06
32.17382813	-0.000957795	2.90E-05
32.2734375	-0.002940715	3.00E-06
32.37304688	-0.003168456	3.26E-05
32.47265625	-0.000880396	6.25E-05
32.57226563	-0.002104653	3.81E-05
32.671875	-0.000822591	-1.08E-05
32.77148438	-0.002415765	3.60E-06
32.87109375	0.001128516	1.18E-05
32.97070313	-0.001011808	1.69E-05
33.0703125	-0.001049197	3.38E-05
33.16992188	-0.001319736	1.31E-05
33.26953125	-0.003491999	6.70E-05
33.36914063	0.002613114	3.22E-05
33.46875	0.001096071	4.55E-05
33.56835938	-0.003735239	1.59E-05
33.66796875	0.00022385	3.10E-06
33.76757813	-0.005400464	6.74E-05
33.8671875	-0.003923893	3.30E-06
33.96679688	-0.003192806	9.20E-06
34.06640625	0.001661318	6.79E-05
34.16601563	0.002544253	1.16E-05
34.265625	0.000926877	4.50E-05
34.36523438	-0.002867471	4.60E-06
34.46484375	-0.001204498	3.71E-05
34.56445313	-0.002913994	5.61E-05
34.6640625	0.002954861	3.73E-05
34.76367188	0.001531056	2.20E-06
34.86328125	-0.00015597	6.64E-05
34.96289063	0.002103328	3.43E-05
35.0625	-0.002659891	3.72E-05
35.16210938	-0.006526461	2.82E-05
35.26171875	-0.002460252	4.20E-06
35.36132813	0.002692528	1.82E-05
35.4609375	0.000189666	4.40E-06
35.56054688	-0.000254193	3.69E-05
35.66015625	-0.001768742	5.40E-06
35.75976563	-0.001251957	3.95E-05
35.859375	0.004562295	3.58E-05
35.95898438	-0.001699808	1.47E-05
36.05859375	0.00068115	1.15E-05
36.15820313	0.000680446	4.10E-06
36.2578125	-0.003934511	3.72E-05
36.35742188	-0.001334107	1.62E-05
36.45703125	0.002842748	5.85E-05
36.55664063	-0.000291115	3.67E-05
36.65625	-0.001667097	1.62E-05
36.75585938	-0.001979382	1.35E-05
36.85546875	-0.003436876	2.65E-05
36.95507813	0.000701007	3.63E-05
37.0546875	0.002160871	1.70E-05
37.15429688	8.13E-05	3.60E-05
37.25390625	0.001704987	4.00E-06
37.35351563	-0.001385338	6.33E-05
37.453125	0.003163538	1.23E-05
37.55273438	-0.000813116	4.40E-05
37.65234375	-0.001065575	6.04E-05
37.75195313	0.002498868	3.66E-05
37.8515625	-0.002873202	-1.91E-05
37.95117188	-0.000792362	3.62E-05
38.05078125	5.97E-05	3.65E-05
38.15039063	0.001893667	4.55E-05
38.25	0.001762157	1.38E-05
38.34960938	-0.000722935	1.55E-05
38.44921875	-0.001218861	3.59E-05
38.54882813	-0.002080839	3.15E-05
38.6484375	0.003048393	3.54E-05
38.74804688	0.002979714	2.42E-05
38.84765625	0.002997078	4.90E-06
38.94726563	-0.000534868	6.60E-05
39.046875	-0.001909389	5.80E-06
39.14648438	-0.002429932	3.66E-05
39.24609375	0.000530965	3.84E-05
39.34570313	-0.002697797	5.68E-05
39.4453125	0.00059531	3.65E-05
39.54492188	-0.000824922	2.13E-05
39.64453125	0.002199527	3.00E-06
39.74414063	-0.000903674	3.06E-05
39.84375	0.000397338	6.43E-05
39.94335938	-0.000291835	3.58E-05
40.04296875	-0.002395691	3.70E-06
40.14257813	0.001584862	4.63E-05
40.2421875	-0.00050367	3.70E-06
40.34179688	0.001136054	3.62E-05
40.44140625	-0.003297718	1.53E-05
40.54101563	0.003184289	3.55E-05
40.640625	-0.001834547	3.55E-05
40.74023438	0.003354491	5.80E-06
40.83984375	4.91E-05	3.10E-06
40.93945313	5.47E-05	5.59E-05
41.0390625	-0.001967991	3.83E-05
41.13867188	-0.000260951	2.10E-06
41.23828125	-0.00129429	3.60E-05
41.33789063	-0.000228332	1.53E-05
41.4375	0.000341179	6.75E-05
41.53710938	-0.001524207	3.63E-05
41.63671875	0.00101379	2.70E-06
41.73632813	0.00465171	3.27E-05
41.8359375	0.001653181	2.80E-06
41.93554688	0.000755012	5.56E-05
42.03515625	-0.001426485	1.70E-06
42.13476563	0.000773622	1.48E-05
42.234375	0.004003673	2.81E-05
42.33398438	-0.000422798	2.75E-05
42.43359375	-0.000523795	3.54E-05
42.53320313	-0.002891781	2.90E-05
42.6328125	-0.005350742	3.57E-05
42.73242188	-0.000135757	-1.44E-05
42.83203125	-0.001098983	3.69E-05
42.93164063	0.003088839	2.50E-06
43.03125	0.00610338	4.67E-05
43.13085938	-0.000110551	3.47E-05
43.23046875	0.001448337	3.47E-05
43.33007813	-0.000254546	2.33E-05
43.4296875	-0.004823768	3.54E-05
43.52929688	0.00258347	3.61E-05
43.62890625	-0.000974548	1.56E-05
43.72851563	-0.00164585	5.62E-05
43.828125	-0.000953993	3.44E-05
43.92773438	0.004202916	3.59E-05
44.02734375	-0.001977209	2.60E-05
44.12695313	-0.001134215	3.48E-05
44.2265625	-0.00113109	3.11E-05
44.32617188	0.000586567	-1.64E-05
44.42578125	-0.003242561	3.39E-05
44.52539063	0.001235959	2.50E-06
44.625	4.74E-05	4.82E-05
44.72460938	-0.00226749	1.04E-05
44.82421875	0.00412117	3.52E-05
44.92382813	-0.004917879	4.58E-05
45.0234375	0.001945067	2.20E-06
45.12304688	-0.005057204	3.29E-05
45.22265625	-0.001005959	6.20E-06
45.32226563	0.001961709	2.20E-05
45.421875	-0.000184185	5.60E-06
45.52148438	-0.001643175	3.25E-05
45.62109375	0.000700885	5.58E-05
45.72070313	0.004353774	2.21E-05
45.8203125	-0.002059827	3.54E-05
45.91992188	0.000100219	3.17E-05
46.01953125	-0.003284357	3.56E-05
46.11914063	0.001546096	-1.62E-05
46.21875	0.001803935	3.56E-05
46.31835938	-0.001814373	2.00E-06
46.41796875	0.002010591	-1.50E-06
46.51757813	0.002313228	1.30E-05
46.6171875	-0.003313101	3.40E-06
46.71679688	0.00055024	3.54E-05
46.81640625	-0.001924587	3.94E-05
46.91601563	-0.000108562	6.72E-05
47.015625	-0.003014591	3.11E-05
47.11523438	-0.001660434	2.65E-05
47.21484375	0.002160736	2.81E-05
47.31445313	0.000783227	1.10E-06
47.4140625	0.001973772	3.54E-05
47.51367188	0.001521553	1.39E-05
47.61328125	0.003059824	3.60E-05
47.71289063	-0.00335649	2.72E-05
47.8125	0.00088835	3.13E-05
47.91210938	0.000440486	-3.91E-05
48.01171875	0.03521387	-0.0004803
48.11132813	0.075135482	-0.0012034
48.2109375	0.12001775	-0.0020729
48.31054688	0.154643451	-0.0030261
48.41015625	0.190181876	-0.0039053
48.50976563	0.233653132	-0.0048204
48.609375	0.269783195	-0.0058021
48.70898438	0.314369361	-0.0067291
48.80859375	0.349401729	-0.0076519
