Time[sec]	Top_Inplane_Disp[mm]	Top_Inplane_Rotation[%rad]
23.109375	0.000921898	-2.59E-05
23.20898438	-0.002908815	-1.76E-05
23.30859375	0.001416483	-5.17E-06
23.40820313	-0.005090238	-5.07E-05
23.5078125	0.00090736	1.36E-05
23.60742188	0.000498321	1.16E-08
23.70703125	0.002311238	-2.13E-05
23.80664063	0.001561604	2.04E-05
23.90625	0.000447034	8.01E-06
24.00585938	0.00261759	-1.01E-05
24.10546875	-0.003204754	-1.98E-05
24.20507813	-1.62E-05	-5.76E-06
24.3046875	-0.000896854	-3.42E-05
24.40429688	0.001225463	1.15E-05
24.50390625	0.0024755	-5.40E-05
24.60351563	0.0020253	-1.11E-06
24.703125	-0.001537544	2.49E-05
24.80273438	-0.000179229	-3.32E-05
24.90234375	-0.001499174	4.14E-05
25.00195313	-0.000863116	-8.46E-06
25.1015625	0.001020894	3.69E-05
25.20117188	0.002876399	4.05E-05
25.30078125	-0.001790387	1.02E-05
25.40039063	0.000629609	-2.03E-05
25.5	-0.004887361	6.67E-06
25.59960938	-0.000568522	1.90E-05
25.69921875	-0.002262597	-2.02E-05
25.79882813	0.004524614	-3.58E-05
25.8984375	-0.003583538	1.14E-05
25.99804688	-0.002450604	1.11E-05
26.09765625	0.002954335	2.70E-06
26.19726563	0.002899557	-2.20E-05
26.296875	0.001378169	1.18E-05
26.39648438	0.001343839	-2.28E-05
26.49609375	-0.005244065	7.80E-07
26.59570313	0.003321185	-2.31E-05
26.6953125	0.000526981	1.06E-05
26.79492188	-0.001032244	1.13E-05
26.89453125	-0.001327258	7.24E-06
26.99414063	0.001110227	-3.60E-05
27.09375	-0.000954102	1.69E-05
27.19335938	-0.003013127	-5.63E-06
27.29296875	-0.000560437	-4.67E-05
27.39257813	0.001197513	2.73E-05
27.4921875	-0.001506945	-2.05E-05
27.59179688	0.001898824	1.19E-05
27.69140625	-9.89E-05	1.26E-05
27.79101563	0.000257758	-2.25E-05
27.890625	0.00560366	-3.84E-05
27.99023438	0.004392279	1.02E-05
28.08984375	0.000689603	1.06E-05
28.18945313	0.000734191	-2.10E-05
28.2890625	0.004417604	-1.18E-05
28.38867188	0.001102391	-1.29E-05
28.48828125	0.001578858	7.61E-06
28.58789063	0.000924484	7.65E-06
28.6875	0.004047447	-2.17E-05
28.78710938	-0.001798014	-1.85E-05
28.88671875	-0.004848712	-9.22E-06
28.98632813	0.000299905	7.85E-06
29.0859375	-0.000150864	-2.28E-05
29.18554688	0.000215753	-1.10E-05
29.28515625	-0.000888282	-2.32E-05
29.38476563	-0.003261212	7.49E-06
29.484375	-0.002333661	1.12E-05
29.58398438	0.000383861	1.09E-05
29.68359375	-0.0026098	-2.29E-05
29.78320313	0.00412673	-2.33E-05
29.8828125	-0.00045093	-2.15E-05
29.98242188	8.59E-05	1.15E-05
30.08203125	0.000791121	-1.27E-05
30.18164063	0.00146232	-2.76E-05
30.28125	-3.81E-05	1.02E-05
30.38085938	0.000231654	9.85E-06
30.48046875	0.001898936	6.85E-06
30.58007813	-0.003649611	-2.24E-05
30.6796875	0.001479958	1.51E-06
30.77929688	-0.003656689	-2.27E-05
30.87890625	-0.000265714	-1.90E-05
30.97851563	0.000457348	1.08E-05
31.078125	-0.0007159	1.40E-06
31.17773438	-0.003511204	1.08E-05
31.27734375	-0.002966405	2.97E-06
31.37695313	-0.002704829	3.61E-05
31.4765625	-0.001153213	1.07E-05
31.57617188	0.00086016	-2.26E-05
31.67578125	-0.006402839	-1.92E-06
31.77539063	0.001964655	-2.27E-05
31.875	0.002223436	-1.49E-06
31.97460938	-0.004355993	-1.04E-05
32.07421875	0.003273674	1.54E-06
32.17382813	0.001979181	1.74E-05
32.2734375	0.000673703	-3.15E-05
32.37304688	-0.001241166	-1.78E-05
32.47265625	0.003781668	-4.64E-05
32.57226563	-0.000564595	-1.70E-05
32.671875	-0.001517609	1.11E-05
32.77148438	-0.00138142	-1.21E-05
32.87109375	-0.003511568	-1.35E-05
32.97070313	-0.001345138	-3.32E-05
33.0703125	-0.002259343	9.84E-06
33.16992188	-0.000644296	1.23E-05
33.26953125	-0.001466893	-2.68E-05
33.36914063	-2.93E-05	-2.08E-05
33.46875	-0.002903409	-2.18E-05
33.56835938	-0.000896747	7.37E-06
33.66796875	0.003085963	-1.23E-05
33.76757813	-0.00230448	1.00E-05
33.8671875	-0.000331664	9.93E-06
33.96679688	-0.000163602	9.62E-06
34.06640625	0.000143483	-1.38E-05
34.16601563	-0.002415636	-1.30E-05
34.265625	-0.00218039	-1.44E-05
34.36523438	-0.003221623	-1.32E-05
34.46484375	-0.001434773	-3.11E-06
34.56445313	0.00187281	9.12E-06
34.6640625	-0.000779661	-2.03E-05
34.76367188	-0.002963732	7.35E-06
34.86328125	0.001774755	-2.28E-05
34.96289063	-0.004967643	-5.31E-06
35.0625	0.001864655	1.34E-06
35.16210938	-0.004374021	1.30E-06
35.26171875	0.002083692	7.37E-06
35.36132813	0.000767815	-1.19E-06
35.4609375	-0.000581863	-1.08E-05
35.56054688	-0.001320919	5.01E-07
35.66015625	-0.000509481	1.11E-05
35.75976563	-0.002159479	-2.39E-06
35.859375	0.000301289	-2.01E-05
35.95898438	0.000287583	9.29E-06
36.05859375	0.003035408	7.16E-06
36.15820313	0.001526515	1.08E-05
36.2578125	-0.000481961	6.37E-06
36.35742188	0.002070792	-2.91E-07
36.45703125	-0.003344901	-2.32E-05
36.55664063	-0.00126249	-8.25E-06
36.65625	-0.000296053	-1.22E-05
36.75585938	-0.002628027	1.02E-05
36.85546875	-0.000703301	-8.72E-06
36.95507813	0.000300786	9.80E-06
37.0546875	0.003232622	-2.35E-05
37.15429688	0.000641006	-1.08E-05
37.25390625	-0.000461318	-1.12E-05
37.35351563	-0.001758286	6.43E-06
37.453125	-0.001300853	-4.46E-05
37.55273438	-0.002458668	-3.44E-05
37.65234375	-0.002024714	2.37E-05
37.75195313	0.000994776	1.77E-05
37.8515625	0.002057305	2.44E-06
37.95117188	-0.001218498	1.88E-05
38.05078125	-0.000220692	2.01E-06
38.15039063	-0.000292274	-5.81E-06
38.25	-0.002033381	-2.75E-05
38.34960938	0.001049085	4.95E-06
38.44921875	0.005321401	-2.35E-06
38.54882813	-0.000408195	7.73E-06
38.6484375	-0.004158369	-1.28E-05
38.74804688	0.000547411	1.09E-05
38.84765625	0.001372174	9.31E-08
38.94726563	-0.000496503	-2.31E-05
