Time[sec]	Top_Inplane_Disp[mm]	Top_Outofplane_Disp[mm]	Top_Inplane_Rotation[rad]
20.81835938	-0.002873739	-0.003137181	3.40E-08
20.91796875	0.001116827	0.001211529	1.32E-07
21.01757813	-0.006133251	0.001845375	-1.20E-07
21.1171875	0.000893326	-0.000399982	3.38E-07
21.21679688	-0.000432059	0.000637263	8.66E-08
21.31640625	-0.00177482	-0.000937659	2.93E-07
21.41601563	-0.002975032	0.003973678	-1.63E-07
21.515625	0.001606457	0.003902833	6.38E-08
21.61523438	-0.002324034	-0.002137755	-1.58E-07
21.71484375	-0.002397498	0.000636999	-3.96E-08
21.81445313	-2.00E-07	0.001616227	7.05E-07
21.9140625	-0.002850179	-0.001530629	-1.61E-07
22.01367188	-0.004271787	-0.004692726	-1.09E-07
22.11328125	0.001195994	-0.004463884	1.74E-07
22.21289063	-0.001695028	0.002469173	1.61E-07
22.3125	-0.00048279	0.00265166	3.62E-07
22.41210938	-0.002774307	-0.006057054	2.49E-07
22.51171875	-0.004199914	-0.002520543	1.12E-07
22.61132813	-0.002714931	-0.000118337	1.32E-07
22.7109375	-0.001816247	-0.005096327	3.00E-07
22.81054688	-0.002004294	0.000953199	2.89E-07
22.91015625	-0.000656258	-0.000784129	-1.38E-07
23.00976563	0.000801123	0.000632168	1.64E-07
23.109375	-0.001986408	0.001326095	2.76E-07
23.20898438	-0.002360171	-0.002675305	1.69E-07
23.30859375	-0.003075015	-0.000156738	3.79E-07
23.40820313	-0.000660596	0.00140743	1.57E-07
23.5078125	-0.004453225	0.000263888	-1.75E-07
23.60742188	-0.00378907	-0.000561691	3.70E-07
23.70703125	-0.001299236	-0.002506916	-1.64E-07
23.80664063	-0.002376315	-0.001280555	-5.15E-08
23.90625	-0.00163603	2.88E-05	1.68E-07
24.00585938	-0.001151808	0.001275316	8.06E-08
24.10546875	-0.001496351	-0.001524825	3.72E-07
24.20507813	0.001121764	0.001123695	1.64E-07
24.3046875	-0.001335596	-7.16E-05	1.25E-07
24.40429688	0.000198731	0.000920371	1.59E-07
24.50390625	-0.00426807	0.002151913	-5.05E-08
24.60351563	-0.001589352	0.003119547	1.94E-07
24.703125	-0.002190645	0.000654959	-3.51E-07
24.80273438	-0.000574395	0.003540766	1.53E-07
24.90234375	0.00318942	0.003407231	1.00E-07
25.00195313	-0.003231484	-0.000305638	1.63E-07
25.1015625	-0.000211832	0.003344587	-9.31E-08
25.20117188	-0.000438276	-0.005663057	1.69E-07
25.30078125	-0.000809245	0.001384577	1.68E-07
25.40039063	-0.004492033	-0.000945103	-8.64E-08
25.5	-0.004336375	0.000113599	2.93E-08
25.59960938	-0.000414162	0.000787028	1.09E-07
25.69921875	0.002902183	0.003140344	1.20E-07
25.79882813	0.000148453	-0.004715637	4.45E-08
25.8984375	-0.005445569	0.001653865	-1.80E-07
25.99804688	0.000163094	-0.00103146	3.03E-07
26.09765625	0.000303158	0.001070812	3.69E-07
26.19726563	-1.17E-05	-0.000447285	1.60E-07
26.296875	-0.003208905	-0.006982825	8.38E-08
26.39648438	0.001037635	-0.002456153	1.55E-07
26.49609375	0.002000542	-0.001196475	1.83E-07
26.59570313	-8.69E-05	-0.000895592	1.54E-07
26.6953125	-0.000896869	0.001371882	2.71E-07
26.79492188	0.000524316	0.003385784	-1.27E-07
26.89453125	0.002303166	0.001268931	3.02E-07
26.99414063	-0.00439232	0.00140035	3.91E-07
27.09375	-0.003642263	0.00144587	3.87E-07
27.19335938	-0.002486346	-0.000796437	-5.36E-08
27.29296875	-0.001560948	-0.000457659	1.33E-07
27.39257813	-0.00246781	0.000979628	7.50E-08
27.4921875	-0.000320279	0.001241863	1.51E-07
27.59179688	-0.00181378	-0.002928401	3.66E-07
27.69140625	-0.003866923	0.001564908	5.12E-08
27.79101563	-0.002391334	0.003051251	1.11E-07
27.890625	-0.000189494	-0.000933249	7.43E-08
27.99023438	-0.002902278	0.004351197	4.71E-07
28.08984375	-0.000247582	0.002358171	-4.91E-08
28.18945313	-0.001336076	0.004885042	1.39E-07
28.2890625	-0.003925462	0.001408978	-1.58E-07
28.38867188	0.000594755	-0.006016085	1.81E-07
28.48828125	-0.003228076	0.001338536	6.52E-08
28.58789063	-0.001349087	0.000377596	-2.07E-07
28.6875	-0.001768013	0.002786707	-1.64E-07
28.78710938	0.000154182	-0.000916148	7.82E-08
28.88671875	-0.004342678	0.002357518	2.28E-07
28.98632813	-0.001655776	0.0013778	2.56E-08
29.0859375	-0.002400224	-0.005746127	1.68E-07
29.18554688	-0.002530622	-0.000402326	-1.02E-08
29.28515625	0.001012028	-0.004712665	1.66E-07
29.38476563	-0.001308945	-0.003063508	7.19E-08
29.484375	-0.003029136	0.004997665	-7.12E-08
29.58398438	0.00279666	-0.005134065	-1.27E-07
29.68359375	0.00352505	0.002325818	5.76E-07
29.78320313	-0.001214416	-0.000865669	4.44E-07
29.8828125	-0.00383083	-0.002873667	-1.80E-07
29.98242188	-0.00018139	3.65E-05	2.51E-07
30.08203125	-0.001089748	0.000294803	-1.79E-07
30.18164063	0.002007719	0.004799533	1.62E-07
30.28125	0.00035563	0.002157853	-1.84E-07
30.38085938	-0.003046907	-0.00014965	1.44E-07
30.48046875	-0.003976717	0.00075727	1.08E-07
30.58007813	0.000325924	0.002148645	-1.11E-07
30.6796875	-0.003203689	-0.001604919	-1.39E-07
30.77929688	0.000853713	-0.002083802	-1.26E-08
30.87890625	0.001657751	-0.002387216	6.61E-08
30.97851563	-0.002018547	0.001626356	3.15E-07
31.078125	0.000205681	-0.003457308	-1.81E-07
31.17773438	0.001439407	-0.001187713	6.22E-08
31.27734375	-0.002445076	0.002097272	-1.37E-07
31.37695313	0.002728441	0.003972675	1.73E-07
31.4765625	-0.001861892	-0.000602596	9.48E-08
31.57617188	-0.003558241	0.004451026	1.58E-07
31.67578125	-0.005806656	-0.000438358	3.25E-07
31.77539063	0.002558452	-0.003929036	1.57E-07
31.875	-0.002172992	-0.001309259	3.48E-07
31.97460938	0.002532386	0.001679371	-1.88E-07
32.07421875	-0.002926306	-0.000465009	1.43E-07
32.17382813	-0.003915582	-0.000896373	2.11E-07
32.2734375	-0.000165258	0.001093801	1.32E-07
32.37304688	0.001397605	-0.0013625	1.76E-07
32.47265625	0.000760868	-0.003264415	2.57E-07
32.57226563	-0.003845236	-0.00066436	2.03E-08
32.671875	0.001759708	0.002366703	1.38E-07
32.77148438	-0.00287394	-0.002790762	1.53E-07
