Time[sec]	Top_Inplane_Disp[mm]
95.29296875	9.226430207
95.49316406	9.249052033
95.69335938	9.262564592
95.89355469	9.285184555
96.09375	9.307538159
96.29394531	9.324574843
96.49414063	9.348344989
96.69433594	9.362139739
96.89453125	9.382298216
97.09472656	9.407217614
97.29492188	9.4280513
97.49511719	9.452304803
97.6953125	9.470968507
97.89550781	9.488838725
98.09570313	9.505976923
98.29589844	9.529786184
98.49609375	9.546588175
98.69628906	9.566529654
98.89648438	9.58714541
99.09667969	9.606014006
99.296875	9.630959481
99.49707031	9.640065022
99.69726563	9.669342078
99.89746094	9.686327539
100.0976563	9.709964506
100.2978516	9.725404903
100.4980469	9.749641642
100.6982422	9.765893221
100.8984375	9.78665147
101.0986328	9.810870513
101.2988281	9.829327464
101.4990234	9.85009037
101.6992188	9.865017608
101.8994141	9.887333959
102.0996094	9.904529899
102.2998047	9.925467893
102.5	9.947340004
102.7001953	9.967285208
102.9003906	9.986632504
103.1005859	10.01119055
103.3007813	10.02861839
103.5009766	10.04020218
103.7011719	10.07114165
103.9013672	10.08767914
104.1015625	10.10990888
104.3017578	10.12962125
104.5019531	10.1537928
104.7021484	10.16725972
104.9023438	10.18430293
105.1025391	10.211532
105.3027344	10.22490859
105.5029297	10.24511922
105.703125	10.27129963
105.9033203	10.28616354
106.1035156	10.30778605
106.3037109	10.32406185
106.5039063	10.3428876
106.7041016	10.36317926
106.9042969	10.38927119
107.1044922	10.40787995
107.3046875	10.42850874
107.5048828	10.44741739
107.7050781	10.46338212
107.9052734	10.48673876
108.1054688	10.51012892
108.3056641	10.52908506
108.5058594	10.54942235
108.7060547	10.56429092
108.90625	10.58719773
109.1064453	10.60909312
109.3066406	10.62747184
109.5068359	10.64888295
109.7070313	10.66626981
109.9072266	10.68755426
110.1074219	10.71007643
110.3076172	10.7272435
110.5078125	10.75171679
110.7080078	10.76631155
110.9082031	10.79044119
111.1083984	10.80923621
111.3085938	10.83073299
111.5087891	10.84999368
111.7089844	10.87327953
111.9091797	10.89045312
112.109375	10.91128029
112.3095703	10.92928834
112.5097656	10.94844565
112.7099609	10.97081788
112.9101563	10.98955888
113.1103516	11.01008244
113.3105469	11.0279806
113.5107422	11.05233934
113.7109375	11.06994413
113.9111328	11.08962763
114.1113281	11.1102527
114.3115234	11.13376021
114.5117188	11.15284581
114.7119141	11.17355749
114.9121094	11.19074412
115.1123047	11.20895706
115.3125	11.23187505
115.5126953	11.24589611
115.7128906	11.27159037
115.9130859	11.28702518
116.1132813	11.31109335
116.3134766	11.32969651
116.5136719	11.34794392
116.7138672	11.36822253
116.9140625	11.38954889
117.1142578	11.41116396
117.3144531	11.42869797
117.5146484	11.44927647
117.7148438	11.46634389
117.9150391	11.48708258
118.1152344	11.50817145
118.3154297	11.52992249
118.515625	11.54852286
118.7158203	11.57080289
118.9160156	11.58607844
119.1162109	11.60845719
119.3164063	11.63110137
119.5166016	11.64920256
119.7167969	11.67157944
119.9169922	11.69092115
120.1171875	11.71093434
120.3173828	11.7294183
120.5175781	11.75085269
120.7177734	11.76932454
120.9179688	11.78731024
121.1181641	11.81293838
121.3183594	11.82745118
121.5185547	11.84941363
121.71875	11.86698209
121.9189453	11.88695338
122.1191406	11.91169675
122.3193359	11.92756929
122.5195313	11.94842253
122.7197266	11.96823362
122.9199219	11.99387666
123.1201172	12.01302279
123.3203125	12.03105785
123.5205078	12.05290109
123.7207031	12.07347121
123.9208984	12.09272072
124.1210938	12.10736576
124.3212891	12.13108376
124.5214844	12.15012278
124.7216797	12.16888241
124.921875	12.18386181
125.1220703	12.20743731
125.3222656	12.23173272
125.5224609	12.24843878
125.7226563	12.27021962
125.9228516	12.2850202
126.1230469	12.31076196
126.3232422	12.32909691
126.5234375	12.34856062
126.7236328	12.37137895
126.9238281	12.39032485
127.1240234	12.40955573
